Hashtag,Group,SearchList
badminton,sports,"badmintonlovers,badmintonlife,badmintonlover,badmintonnews,badminton,badmintonlifestyle,badmintonplayer,badmintontraining"
basketball,sports,"NBA,lakers,basketballlife,basketballlove"
camping,sports,"campers,campsite,campingtime,campinglifestyle"
car,lifestyle,"vehicle,cars,carlovers,automobile"
children,family,"child,childrenlove,childrenlove,childhood,childcare,childlove,ChildrensDay"
cooking,food,"cook,cookinglife,cookingtime,cookinglifestyle,cookinglove,homechef,homecooking,homechefs"
cycling,sports,"bicycle,bike,biking,BikeLovers,bmx,biker,bikerlifestyle.bikelifestyle,sportbikelife"
education,learning,"educational,study,studying"
fishing,lifestyle,"fishinglife,fishinglifestyle"
fitness,sports,"gym,workout,gymlife,gymlifestyle"
football,sports,"soccer,messi,epl,footballer,nikesoccer,lovefootball,nikefootball,soccerislife,soccerislife"
glamping,sports,"glamp,glampinglife,glampinglove,glamper,glampinghub,glamorouscamping"
golf,sports,"golflife,golflove,golftime,golfislife"
healthyfood,health,"healthyeat,healthyeating,healthyeats,healthydish"
hiking,sports,"hikinglife,hikinglifestyle,hike,hikingtime"
housing,investment,"house,buyhouse,realestate,houseforsale"
internet,lifestyle,"internetlife,browsing,webbrowsing,websurfing,OnlineSurfing,digitalcontent"
investment,investment,"invest,investing,investtime,investor"
language,learning,"foreignlanguage,languages,learnlanguage,learninglanguage"
luxurylifestyle,lifestyle,"luxury,luxurycollection,luxurylife,luxurylifestyle,luxuryfurniture,luxurydesign,luxuryhomes"
marathon,sports,"halfmarathon,MarathonLife,marathontraining,bostonmarathon"
marriage,family,"marry,marryme,marrying,marriagelife,Wedding,happywedding,married"
martialarts,sports,"martialart,kungfu,martialartslife,martialartslifestyle,wingchun,wayofmartialarts"
mentalhealthawareness,health,"mentalhealth,mentalwellness,mentalhealthcare,mentalhealthsupport"
migration,family,"migration,migrating,migrant,immigrate,immigrant"
movie,movie,"movies,movietime,film,films,movielife,MovieLove,filmproduction"
music,music,"musician,musiclife,musiclove,musiclifestyle"
parenthood,family,"parents,parentslove,parentscare"
pet,pet,"pets,dogs,cats,petslove"
photography,art,"photograph,phototaking,camera"
restaurant,food,"restaurants,foodcourt,foodshop,cafeteria,diner"
retirement,family,"retire,retiredlife"
running,sports,"run,jogging,runningtime"
sailing,sports,"sailinglife,sailingtrip,sailingday,sailboatlife,sailingboats,sailingpassion"
stocks,investment,"stockslife,stockmarket,sharemarket,stockmarketeducation,stockstobuy,stockstowatch"
surfing,sports,"surf,surfingtime,surfinglove,surfinglife"
swimming,sports,"swim,swimminglife,swimminglove,swimmingtime"
technology,lifestyle,"technews,technology,smartphone"
tennis,sports,"tennislife,tennislove,tennistraining,tennisplayer,lovetennis,tennisfan"
trading,investment,"tradingstocks,tradinglife,optionstrading,swingtrading,daytrade"
travel,travel,"traveling,traveltime,travelling,travellove"
vintagecollection,lifestyle,"vintagelove,vintagestyle,vintagelove,vintagelover"
watch,lifestyle,"watches,rolex,seiko,watchlovers"
wine tasting,lifestyle,"winetasting,drinkingwine,redwine,whitewine"
yoga,sports,"yogalove,yogalife,yogalifestyle,yogatime,freeyoga"
